Name, IO Area (sq.mm), IO Timing Margin (ps), IO Voltage Margin (V), IO Dynamic Power (mW), PHY Power (mW), PHY Wakeup Time (us), IO Termination and Bias Power (mW), Access time (ns), Cycle time (ns), Precharge Delay (ns), Activate Energy (nJ), Read Energy (nJ), Write Energy (nJ), Precharge Energy (nJ), Leakage Power Closed Page (mW), Leakage Power Open Page (mW), Leakage Power I/O (mW), Refresh power (mW), Cache height (mm), Cache width (mm)
activity_ca_0.7.cfg.txt, inf, -14.1667, 0.155, 1695.36, 232.752, 27.503, 2505.96, 5.02937,  12.8915, 0, 0.0111722, 0.0447853, 0.0291295, 0.105185, 0.000306837, 0.000306929, 9.73572e-05, 0.00150189, 0.401884, 0.221343
activity_ca_0.2.cfg.txt, inf, -14.1667, 0.155, 1222.86, 232.752, 27.503, 2505.96, 5.02937,  12.8915, 0, 0.0111722, 0.0447853, 0.0291295, 0.105185, 0.000306837, 0.000306929, 9.73572e-05, 0.00150189, 0.401884, 0.221343
activity_ca_0.6.cfg.txt, inf, -14.1667, 0.155, 1600.86, 232.752, 27.503, 2505.96, 5.02937,  12.8915, 0, 0.0111722, 0.0447853, 0.0291295, 0.105185, 0.000306837, 0.000306929, 9.73572e-05, 0.00150189, 0.401884, 0.221343
activity_ca_0.1.cfg.txt, inf, -14.1667, 0.155, 1128.36, 232.752, 27.503, 2505.96, 5.02937,  12.8915, 0, 0.0111722, 0.0447853, 0.0291295, 0.105185, 0.000306837, 0.000306929, 9.73572e-05, 0.00150189, 0.401884, 0.221343
activity_ca_0.5.cfg.txt, inf, -14.1667, 0.155, 1506.36, 232.752, 27.503, 2505.96, 5.02937,  12.8915, 0, 0.0111722, 0.0447853, 0.0291295, 0.105185, 0.000306837, 0.000306929, 9.73572e-05, 0.00150189, 0.401884, 0.221343
activity_ca_0.8.cfg.txt, inf, -14.1667, 0.155, 1789.86, 232.752, 27.503, 2505.96, 5.02937,  12.8915, 0, 0.0111722, 0.0447853, 0.0291295, 0.105185, 0.000306837, 0.000306929, 9.73572e-05, 0.00150189, 0.401884, 0.221343
activity_ca_1.0.cfg.txt, inf, -14.1667, 0.155, 1978.86, 232.752, 27.503, 2505.96, 5.02937,  12.8915, 0, 0.0111722, 0.0447853, 0.0291295, 0.105185, 0.000306837, 0.000306929, 9.73572e-05, 0.00150189, 0.401884, 0.221343
activity_ca_0.4.cfg.txt, inf, -14.1667, 0.155, 1411.86, 232.752, 27.503, 2505.96, 5.02937,  12.8915, 0, 0.0111722, 0.0447853, 0.0291295, 0.105185, 0.000306837, 0.000306929, 9.73572e-05, 0.00150189, 0.401884, 0.221343
activity_ca_0.9.cfg.txt, inf, -14.1667, 0.155, 1884.36, 232.752, 27.503, 2505.96, 5.02937,  12.8915, 0, 0.0111722, 0.0447853, 0.0291295, 0.105185, 0.000306837, 0.000306929, 9.73572e-05, 0.00150189, 0.401884, 0.221343
activity_ca_0.3.cfg.txt, inf, -14.1667, 0.155, 1317.36, 232.752, 27.503, 2505.96, 5.02937,  12.8915, 0, 0.0111722, 0.0447853, 0.0291295, 0.105185, 0.000306837, 0.000306929, 9.73572e-05, 0.00150189, 0.401884, 0.221343