Name, t_RCD (Row to column command delay), t_RAS (Row access strobe latency), t_RC (Row cycle), t_CAS (Column access strobe latency), t_RP (Row precharge latency), t_RRD (Row activation to row activation delay), Activation energy, Read energy, Write energy, Precharge energy, DRAM core area, DRAM area per die, Area efficiency, DRAM die width, DRAM die height, TSV area overhead, TSV latency overhead, TSV energy overhead per access
IO_width_8.txt, 9.31731 ns, 20.5952 ns, 32.7205 ns, 15.294 ns, 12.8671 ns, 3.43234 ns, 1.17281 nJ, 2.01458 nJ, 2.01465 nJ, 0.935142 nJ, 55.7141 mm2, 79.976 mm2, 46.6714%, 6.84495 mm, 11.6271 mm, 0.3888 mm2, 0.741733 ns, 0.0715132 nJ
IO_width_16.txt, 9.35776 ns, 20.6475 ns, 32.7729 ns, 15.2749 ns, 12.8671 ns, 3.44425 ns, 1.2205 nJ, 3.00098 nJ, 3.00112 nJ, 0.981845 nJ, 58.4407 mm2, 82.7026 mm2, 45.1327%, 6.99603 mm, 11.7219 mm, 0.696 mm2, 0.741733 ns, 0.118216 nJ
IO_width_5.txt, 9.30217 ns, 20.5756 ns, 32.7009 ns, 15.2769 ns, 12.8671 ns, 3.42787 ns, 1.15493 nJ, 1.74675 nJ, 1.74679 nJ, 0.917629 nJ, 54.7017 mm2, 78.9636 mm2, 47.2698%, 6.78864 mm, 11.5914 mm, 0.2736 mm2, 0.741733 ns, 0.0539997 nJ
IO_width_13.txt, 9.34258 ns, 20.6279 ns, 32.7532 ns, 15.2579 ns, 12.8671 ns, 3.43978 ns, 1.20262 nJ, 2.61267 nJ, 2.61278 nJ, 0.964331 nJ, 57.4137 mm2, 81.6756 mm2, 45.7003%, 6.93922 mm, 11.6864 mm, 0.5808 mm2, 0.741733 ns, 0.100702 nJ
IO_width_4.txt, 9.29712 ns, 20.569 ns, 32.6944 ns, 15.3087 ns, 12.8671 ns, 3.42638 ns, 1.14896 nJ, 1.70623 nJ, 1.70626 nJ, 0.911791 nJ, 54.3655 mm2, 78.6273 mm2, 47.472%, 6.76991 mm, 11.5795 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
IO_width_3.txt, 9.29208 ns, 20.5625 ns, 32.6878 ns, 15.303 ns, 12.8671 ns, 3.42489 ns, 1.143 nJ, 1.73047 nJ, 1.73049 nJ, 0.905953 nJ, 54.0298 mm2, 78.2917 mm2, 47.6755%, 6.75121 mm, 11.5675 mm, 0.1968 mm2, 0.741733 ns, 0.0423241 nJ
IO_width_7.txt, 9.31226 ns, 20.5886 ns, 32.714 ns, 15.2883 ns, 12.8671 ns, 3.43085 ns, 1.16685 nJ, 1.91133 nJ, 1.91138 nJ, 0.929305 nJ, 55.3761 mm2, 79.6379 mm2, 46.8696%, 6.82616 mm, 11.6152 mm, 0.3504 mm2, 0.741733 ns, 0.0656753 nJ
IO_width_6.txt, 9.30721 ns, 20.5821 ns, 32.7074 ns, 15.2826 ns, 12.8671 ns, 3.42936 ns, 1.16089 nJ, 1.81974 nJ, 1.81979 nJ, 0.923467 nJ, 55.0386 mm2, 79.3004 mm2, 47.069%, 6.80739 mm, 11.6033 mm, 0.312 mm2, 0.741733 ns, 0.0598375 nJ
IO_width_14.txt, 9.34764 ns, 20.6344 ns, 32.7598 ns, 15.2636 ns, 12.8671 ns, 3.44127 ns, 1.20858 nJ, 2.74065 nJ, 2.74077 nJ, 0.970169 nJ, 57.7554 mm2, 82.0173 mm2, 45.5098%, 6.95814 mm, 11.6983 mm, 0.6192 mm2, 0.741733 ns, 0.10654 nJ
IO_width_10.txt, 9.32741 ns, 20.6083 ns, 32.7336 ns, 15.2409 ns, 12.8671 ns, 3.43532 ns, 1.18473 nJ, 2.24225 nJ, 2.24234 nJ, 0.946818 nJ, 56.3921 mm2, 80.654 mm2, 46.2791%, 6.8826 mm, 11.6509 mm, 0.4656 mm2, 0.741733 ns, 0.0831888 nJ
IO_width_1.txt, 9.282 ns, 20.5494 ns, 32.6748 ns, 15.3694 ns, 12.8671 ns, 3.42191 ns, 1.13108 nJ, 2.74919 nJ, 2.74919 nJ, 0.894278 nJ, 53.3603 mm2, 77.6222 mm2, 48.0867%, 6.71386 mm, 11.5436 mm, 0.12 mm2, 0.741733 ns, 0.0306485 nJ
IO_width_2.txt, 9.28704 ns, 20.556 ns, 32.6813 ns, 15.3489 ns, 12.8671 ns, 3.4234 ns, 1.13704 nJ, 1.91648 nJ, 1.9165 nJ, 0.900116 nJ, 53.6948 mm2, 77.9566 mm2, 47.8804%, 6.73252 mm, 11.5556 mm, 0.1584 mm2, 0.741733 ns, 0.0364863 nJ
IO_width_11.txt, 9.33246 ns, 20.6148 ns, 32.7401 ns, 15.2465 ns, 12.8671 ns, 3.43681 ns, 1.19069 nJ, 2.36289 nJ, 2.36298 nJ, 0.952656 nJ, 56.7321 mm2, 80.9939 mm2, 46.0849%, 6.90145 mm, 11.6628 mm, 0.504 mm2, 0.741733 ns, 0.0890266 nJ
IO_width_9.txt, 9.32236 ns, 20.6017 ns, 32.7271 ns, 15.2352 ns, 12.8671 ns, 3.43383 ns, 1.17877 nJ, 2.12566 nJ, 2.12574 nJ, 0.94098 nJ, 56.0528 mm2, 80.3147 mm2, 46.4746%, 6.86376 mm, 11.639 mm, 0.4272 mm2, 0.741733 ns, 0.077351 nJ
IO_width_15.txt, 9.3527 ns, 20.641 ns, 32.7663 ns, 15.2692 ns, 12.8671 ns, 3.44276 ns, 1.21454 nJ, 2.87018 nJ, 2.8703 nJ, 0.976007 nJ, 58.0978 mm2, 82.3596 mm2, 45.3207%, 6.97707 mm, 11.7101 mm, 0.6576 mm2, 0.741733 ns, 0.112378 nJ
IO_width_12.txt, 9.33752 ns, 20.6213 ns, 32.7467 ns, 15.2522 ns, 12.8671 ns, 3.43829 ns, 1.19665 nJ, 2.48659 nJ, 2.48669 nJ, 0.958494 nJ, 57.0726 mm2, 81.3344 mm2, 45.8919%, 6.92032 mm, 11.6746 mm, 0.5424 mm2, 0.741733 ns, 0.0948644 nJ